time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-07-06T20:19:29.117Z,28.115,105.04,10,4.5,mb,,44,4.449,1.02,us,us7000ej6z,2021-07-09T21:53:17.040Z,"49 km SE of Xunchang, China",earthquake,7.4,1.8,0.063,82,reviewed,us,us
2021-07-06T12:44:05.962Z,26.8969,59.4231,10,4.9,mb,,96,3.489,0.8,us,us7000ej38,2021-07-06T13:04:20.040Z,"41 km NNW of Fann?j, Iran",earthquake,8.6,1.9,0.049,133,reviewed,us,us
2021-07-06T11:44:33.208Z,27.8229,53.2285,10,4.7,mb,,71,3.916,0.55,us,us7000ej30,2021-07-06T12:35:45.040Z,"45 km NE of Mohr, Iran",earthquake,7.4,1.9,0.052,115,reviewed,us,us
2021-07-06T11:41:27.379Z,6.838,-73.0353,149.66,4.5,mb,,66,0.94,1.07,us,us7000ej2x,2021-07-06T14:27:46.040Z,"11 km NW of Cepitá, Colombia",earthquake,6.9,6.8,0.036,229,reviewed,us,us
2021-07-06T10:26:34.936Z,23.841,121.5319,10,4.7,mb,,83,0.336,0.56,us,us7000ej2n,2021-07-06T12:20:14.040Z,"16 km SSW of Hualien City, Taiwan",earthquake,2.2,1.9,0.06,83,reviewed,us,us
2021-07-06T06:29:47.243Z,44.7262,141.8765,245.73,4.5,mb,,84,0.795,0.88,us,us7000ej1c,2021-07-06T06:45:33.040Z,"62 km NW of Nayoro, Japan",earthquake,8.5,6.4,0.025,471,reviewed,us,us
2021-07-06T01:50:53.778Z,34.6563,98.3124,11.7,4.5,mb,,47,7.839,0.53,us,us7000ej01,2021-07-07T23:16:30.040Z,"Southern Qinghai, China",earthquake,8,4.8,0.085,40,reviewed,us,us
2021-07-05T23:43:35.300Z,20.2203333333333,-155.63,26.92,5.17,ml,64,168,,0.12,hv,hv72565662,2021-07-10T02:45:38.330Z,"12 km NNW of Kukuihaele, Hawaii",earthquake,0.49,0.99,0.153978361629308,46,reviewed,hv,hv
2021-07-05T23:39:10.097Z,-29.7502,18.3134,5,4.5,mb_lg,,210,3.386,0.9,us,us7000eiz3,2021-07-06T21:21:31.104Z,"42 km ESE of Springbok, South Africa",earthquake,7.7,2,0.136,14,reviewed,us,us
2021-07-05T19:06:05.945Z,28.0519,128.1604,10,4.7,mb,,81,1.215,0.99,us,us7000eix2,2021-07-06T10:05:44.154Z,"134 km WSW of Naze, Japan",earthquake,4.2,1.9,0.099,31,reviewed,us,us
2021-07-05T18:47:23.028Z,-24.1248,178.8358,540.98,4.9,mb,,44,6.39,1.02,us,us7000eiwy,2021-07-05T19:23:55.040Z,"south of the Fiji Islands",earthquake,10.9,5.7,0.03,338,reviewed,us,us
2021-07-05T11:58:24.314Z,-28.7679,-71.7576,10,4.6,mwr,,195,0.822,0.51,us,us7000eiua,2021-07-05T12:11:27.040Z,"99 km WSW of Vallenar, Chile",earthquake,2.9,1.9,0.043,51,reviewed,us,us
2021-07-05T09:02:40.393Z,-28.7697,-71.7949,10,4.5,mb,,148,0.848,0.83,us,us7000eitn,2021-07-05T09:22:30.040Z,"103 km WSW of Vallenar, Chile",earthquake,4.8,1.9,0.118,21,reviewed,us,us
2021-07-05T06:12:13.795Z,-43.3207,92.1804,10,5,mb,,52,25.12,0.41,us,us7000eit1,2021-07-05T07:43:14.040Z,"southeast Indian Ridge",earthquake,10.9,1.1,0.07,65,reviewed,us,us
2021-07-05T02:23:48.932Z,-15.5211,167.7463,123.3,4.9,mww,,111,0.528,0.88,us,us7000eirt,2021-07-05T02:39:59.040Z,"62 km E of Luganville, Vanuatu",earthquake,8.7,5.5,0.098,10,reviewed,us,us
2021-07-04T23:32:30.378Z,-17.6341,167.7717,10,4.8,mb,,106,2.242,0.88,us,us7000eir5,2021-07-05T21:04:13.040Z,"58 km W of Port-Vila, Vanuatu",earthquake,7.7,1.9,0.102,30,reviewed,us,us
2021-07-04T18:16:45.097Z,-55.8186,-27.5905,35,5.2,mb,,99,5.341,0.47,us,us7000eipd,2021-07-05T13:23:38.887Z,"South Sandwich Islands region",earthquake,6.2,2,0.101,32,reviewed,us,us
2021-07-04T16:18:52.426Z,-2.8977,127.9356,29.38,4.9,mww,,36,2.12,0.77,us,us7000einr,2021-07-05T14:32:08.040Z,"92 km NNW of Ambon, Indonesia",earthquake,6.5,4.3,0.098,10,reviewed,us,us
2021-07-04T15:57:09.453Z,-28.7452,-71.617,10,4.6,mb,,146,0.72,0.64,us,us7000einm,2021-07-05T14:23:59.040Z,"85 km WSW of Vallenar, Chile",earthquake,3.4,1.9,0.146,17,reviewed,us,us
2021-07-04T15:05:26.772Z,-28.7453,-71.6324,10,4.6,mwr,,149,0.729,0.82,us,us7000eine,2021-07-05T13:37:58.040Z,"87 km WSW of Vallenar, Chile",earthquake,4.8,1.9,,,reviewed,us,guc
2021-07-04T12:32:14.451Z,2.2792,-98.6284,10,4.7,mb,,201,15.083,0.73,us,us7000eimx,2021-07-05T13:33:55.396Z,"west of the Galapagos Islands",earthquake,13.9,2,0.039,203,reviewed,us,us
2021-07-04T12:04:49.898Z,-7.4709,156.0779,35,4.7,mb,,98,5.077,0.7,us,us7000eimr,2021-07-05T13:33:01.136Z,"109 km NW of Gizo, Solomon Islands",earthquake,7.7,1.9,0.056,96,reviewed,us,us
2021-07-04T03:53:43.104Z,-0.6612,-20.7807,10,4.6,mb,,110,9.649,0.98,us,us7000eikm,2021-07-04T04:25:17.040Z,"central Mid-Atlantic Ridge",earthquake,6.2,1.9,0.096,34,reviewed,us,us
2021-07-04T02:57:46.072Z,-28.747,-71.728,11.43,4.7,mb,,105,0.789,1.18,us,us7000eik6,2021-07-04T03:09:50.040Z,"96 km W of Vallenar, Chile",earthquake,4.2,3.3,0.13,18,reviewed,us,us
2021-07-04T02:45:02.410Z,21.2161,-106.0785,51.08,5.7,mww,,93,3.606,0.86,us,us7000eik4,2021-07-10T13:07:59.801Z,"76 km NW of Corral del Risco (Punta de Mita), Mexico",earthquake,8.8,5.5,0.038,67,reviewed,us,us
2021-07-04T01:29:13.753Z,-28.7264,-71.6587,10,6,mww,,96,0.731,1.18,us,us7000eijt,2021-07-06T06:30:48.110Z,"89 km W of Vallenar, Chile",earthquake,5.1,1.8,0.063,24,reviewed,us,us
2021-07-04T01:27:36.290Z,-5.779,125.1603,561.26,4.9,mb,,100,4.048,0.29,us,us6000et7k,2021-07-08T22:53:24.040Z,"Banda Sea",earthquake,16.3,14.3,0.229,6,reviewed,us,us
2021-07-04T01:01:35.147Z,-28.7602,-71.6503,10,6,mww,,98,0.75,1.14,us,us7000eijq,2021-07-06T01:30:52.249Z,"89 km WSW of Vallenar, Chile",earthquake,2,1.8,0.078,16,reviewed,us,us
